date,no1,no2,no3,no4,no5
2014-01-02 02:00:00,1.585657,0.929673,1.419212,0.711074,0.518321
2014-01-02 03:00:00,-0.002837,0.190326,-0.128323,-1.200359,0.590460
2014-01-02 04:00:00,0.756312,0.439050,-0.687590,-0.848712,-1.788131
2014-01-02 05:00:00,0.093817,-0.325863,-0.854589,0.948520,-1.721219
2014-01-02 06:00:00,0.381229,0.608691,-0.849104,1.518221,1.632963
2014-01-02 07:00:00,-0.029516,0.443019,2.271818,-0.351616,0.320692
2014-01-02 08:00:00,-0.350964,-0.546384,0.405714,1.009050,0.062085
2014-01-02 09:00:00,-0.383905,-0.574657,1.577105,-0.437858,1.100905
2014-01-02 10:00:00,-3.076331,0.053058,0.224014,0.293497,0.198634
2014-01-02 11:00:00,-0.616947,0.804910,0.519276,0.144434,-0.513736
2014-01-02 12:00:00,1.140811,-0.459996,0.190446,-0.409259,0.729487
2014-01-02 13:00:00,1.152672,0.233389,-0.584101,0.295651,-0.568459
2014-01-02 14:00:00,-0.268094,-1.553090,-1.432884,1.544106,0.098654
2014-01-02 15:00:00,-0.685062,-0.026552,0.584414,-1.103359,-0.270693
2014-01-02 16:00:00,-0.095294,0.711916,0.017928,-1.408076,-0.853510
2014-01-02 17:00:00,-0.448768,-0.348407,-2.144058,-1.663127,-1.229972
2014-01-02 18:00:00,-0.863236,0.124638,0.235443,-0.533158,-0.100685
2014-01-02 19:00:00,0.897124,-0.205169,0.648244,-1.282648,-0.307516
2014-01-02 20:00:00,0.403550,-0.103971,0.650502,-0.477383,0.176764
2014-01-02 21:00:00,0.652519,-0.002899,-0.993273,-0.179748,-0.564878
2014-01-02 22:00:00,-1.186962,0.313821,-0.293802,0.750951,1.650473
2014-01-02 23:00:00,-0.727577,0.898140,0.843648,-0.173914,1.126390
2014-01-03 00:00:00,0.749329,-0.653069,0.873144,0.114618,1.670853
2014-01-03 01:00:00,1.054629,-1.484520,1.509225,-0.162459,-1.126728
2014-01-03 02:00:00,2.027059,1.484972,0.544467,0.725340,-0.629810
2014-01-03 03:00:00,1.196202,-0.172512,0.074586,0.364125,-1.722377
2014-01-03 04:00:00,0.249544,-1.857961,0.709016,0.954418,0.413209
2014-01-03 05:00:00,-0.233539,1.807133,1.020172,-1.103114,0.667703
2014-01-03 06:00:00,-1.391110,-0.047853,-0.686340,-0.539597,-1.599630
2014-01-03 07:00:00,0.697312,-0.319936,-0.085687,-0.970299,1.211878
2014-01-03 08:00:00,-1.501731,1.671243,-0.187601,-1.154779,0.241580
2014-01-03 09:00:00,-1.386109,0.652502,-0.539795,-1.363733,0.082695
2014-01-03 10:00:00,-0.891139,1.102050,0.502944,-2.531341,-0.203968
2014-01-03 11:00:00,1.447330,-1.134204,-0.172949,-0.612162,-0.977569
2014-01-03 12:00:00,0.041386,-0.226306,1.134067,-0.975109,-0.319158
2014-01-03 13:00:00,-0.218099,-0.052209,-0.035260,-1.215934,-1.492321
2014-01-03 14:00:00,1.142336,-1.424813,-0.748916,0.867570,-1.190267
2014-01-03 15:00:00,-0.017999,-0.341448,-0.369978,0.913201,1.215100
2014-01-03 16:00:00,-1.025833,-0.086293,-0.072916,0.927231,0.608911
2014-01-03 17:00:00,0.869265,-0.438058,1.076888,1.190813,-2.327869
2014-01-03 18:00:00,-0.497615,-1.419562,-0.163646,-0.088839,-0.449457
2014-01-03 19:00:00,-0.362457,1.897532,-0.637825,-0.398654,-0.550792
2014-01-03 20:00:00,0.719803,1.341742,1.143985,-1.082132,-0.620692
2014-01-03 21:00:00,-1.184227,-1.259770,0.023248,0.696467,0.606141
2014-01-03 22:00:00,1.407260,-0.658626,-0.295434,-0.054174,1.097742
2014-01-03 23:00:00,-0.085499,0.184353,0.405016,0.733826,0.814531
2014-01-04 00:00:00,0.245533,-0.360962,0.158615,-0.077856,0.615709
2014-01-04 01:00:00,-1.032563,-0.241769,-0.926046,0.585679,-0.057009
2014-01-04 02:00:00,0.360115,-1.062306,1.347484,0.229389,3.538809
2014-01-04 03:00:00,-0.317219,-0.022470,-0.066665,-1.039327,-2.722906
2014-01-04 04:00:00,-0.795867,1.087819,0.959040,0.332663,-0.238586
2014-01-04 05:00:00,0.649515,-0.642304,-1.037359,-1.332520,-0.887511
2014-01-04 06:00:00,1.523981,-1.226938,-1.286139,0.091087,-0.344815
2014-01-04 07:00:00,0.129069,1.664280,0.408319,0.254521,-0.005944
2014-01-04 08:00:00,-0.329221,-0.019834,-0.142187,-0.437256,0.490720
2014-01-04 09:00:00,-1.407379,-1.787795,0.622325,-1.174616,0.103797
2014-01-04 10:00:00,0.513815,1.002249,0.900106,1.138123,0.356696
2014-01-04 11:00:00,0.464694,1.571876,-1.125270,-0.344963,0.561361
2014-01-04 12:00:00,0.519619,0.001868,0.427544,-0.157345,-0.309826
2014-01-04 13:00:00,0.290504,-0.210740,0.216558,-0.556445,0.735470
2014-01-04 14:00:00,0.302431,0.461377,-0.409446,0.699021,-1.116038
2014-01-04 15:00:00,-0.005729,0.099494,0.809170,-0.883469,0.091577
2014-01-04 16:00:00,-1.567874,-0.044971,-1.298844,0.959424,0.316900
2014-01-04 17:00:00,-1.561698,0.095299,0.295364,0.316689,-0.077853
2014-01-04 18:00:00,1.236631,0.869833,1.082283,0.497684,1.913252
2014-01-04 19:00:00,0.481565,3.188049,-1.654221,1.531965,0.366979
2014-01-04 20:00:00,-1.447346,0.116248,0.198221,-0.714504,-0.703066
2014-01-04 21:00:00,0.917041,-1.312006,-1.509074,0.982444,0.284686
2014-01-04 22:00:00,-2.419500,1.164270,1.779667,-0.060807,0.915740
2014-01-04 23:00:00,-0.729880,0.817708,1.079283,-0.645725,-0.354640
2014-01-05 00:00:00,1.264209,0.296961,0.538318,1.083521,-0.211277
2014-01-05 01:00:00,-1.944360,0.007289,-0.621004,0.095968,-0.995004
2014-01-05 02:00:00,0.019593,-0.212356,-0.831028,-1.256942,1.095552
2014-01-05 03:00:00,-0.344675,-0.483614,0.675055,-0.567179,-0.561633
2014-01-05 04:00:00,0.404869,0.754397,0.957292,-1.212946,1.040124
2014-01-05 05:00:00,1.300565,-0.021852,-0.750425,-1.764435,1.401168
2014-01-05 06:00:00,0.038654,1.669042,-1.322680,-0.459245,1.036173
2014-01-05 07:00:00,-1.468088,-0.044428,-0.195626,0.482130,0.260030
2014-01-05 08:00:00,-0.349461,1.500955,-0.623495,1.145349,0.434137
2014-01-05 09:00:00,-0.145879,0.204274,0.068148,-1.212841,-1.077901
2014-01-05 10:00:00,0.232564,1.967373,-0.665114,-0.827824,1.048117
2014-01-05 11:00:00,-1.134702,-0.648886,0.051593,3.420939,-0.234532
2014-01-05 12:00:00,1.574550,0.586052,-0.031427,0.962789,0.579165
2014-01-05 13:00:00,-1.248162,0.129215,-0.600091,-0.652700,0.194573
2014-01-05 14:00:00,0.473250,-0.954033,0.511605,1.430108,1.135365
2014-01-05 15:00:00,0.723818,-1.361646,2.927721,0.093934,-0.441100
2014-01-05 16:00:00,-0.209670,-0.025074,0.433062,0.594744,0.358104
2014-01-05 17:00:00,2.012941,-0.071784,-0.676687,-0.047257,-1.191514
2014-01-05 18:00:00,-0.589939,0.893948,-0.854943,0.334548,-0.383344
2014-01-05 19:00:00,0.575761,-2.457946,0.881201,0.059161,-0.878672
2014-01-05 20:00:00,-0.580759,0.638197,-0.514094,-0.586213,-1.310265
2014-01-05 21:00:00,-1.120975,1.182755,-0.284534,-1.097777,0.491152
2014-01-05 22:00:00,-0.509931,-1.690455,1.482058,0.119400,0.048262
2014-01-05 23:00:00,-0.569912,-0.118600,-1.199435,2.121390,0.928580
2014-01-06 00:00:00,-0.051674,-0.640337,-1.115973,-0.784251,-1.867344
2014-01-06 01:00:00,1.809347,-0.674212,-0.116945,-1.800738,-0.350407
2014-01-06 02:00:00,0.748549,-0.685939,2.702029,2.039718,0.807495
2014-01-06 03:00:00,0.302723,-0.981352,-0.293913,0.678193,-0.653460
2014-01-06 04:00:00,0.505354,0.115041,-1.157321,0.176806,0.695622
2014-01-06 05:00:00,-0.033475,-0.270876,-0.662014,0.061669,-0.800505
2014-01-06 06:00:00,0.050425,0.167831,-2.346575,0.602873,-1.414455
2014-01-06 07:00:00,-0.490591,-1.421569,0.228537,0.623728,-0.814625
2014-01-06 08:00:00,1.514695,-0.059486,-1.854118,-1.172490,0.882220
2014-01-06 09:00:00,-0.300868,-0.870043,1.469022,1.643684,1.434580
2014-01-06 10:00:00,0.312712,0.046803,0.004409,-1.192601,-1.466455
2014-01-06 11:00:00,-1.323622,-0.947063,0.423480,-2.294884,1.240807
2014-01-06 12:00:00,2.116747,-0.257352,-0.869004,-1.308779,1.259798
2014-01-06 13:00:00,-0.980738,-0.761395,1.077659,0.966621,0.899492
2014-01-06 14:00:00,-0.345200,0.573323,0.843510,-0.920159,0.356028
2014-01-06 15:00:00,0.505402,0.917097,0.041410,0.655565,1.093988
2014-01-06 16:00:00,0.702353,0.226835,-1.121544,0.154415,0.477499
2014-01-06 17:00:00,-1.087561,-0.211832,-1.006857,-0.178447,0.346970
2014-01-06 18:00:00,0.560638,1.137408,1.249978,-0.005725,1.372594
2014-01-06 19:00:00,0.772081,0.480217,-0.313624,1.240813,0.427864
2014-01-06 20:00:00,0.619053,-1.300204,-0.764741,-0.571905,-0.709090
2014-01-06 21:00:00,2.756499,0.399835,-0.187592,1.436916,1.249473
2014-01-06 22:00:00,1.731150,1.803397,-0.900807,1.572025,1.175622
2014-01-06 23:00:00,0.802901,0.147414,-1.210002,-1.592787,0.476684
2014-01-07 00:00:00,-0.363117,-1.781905,1.525527,-1.753288,-0.242971
2014-01-07 01:00:00,-0.122117,-1.232216,-1.269232,0.206560,0.027493
2014-01-07 02:00:00,0.233181,-0.333886,0.459342,1.119235,1.567778
2014-01-07 03:00:00,-1.157840,0.165024,0.808066,1.423046,1.018840
2014-01-07 04:00:00,-0.084381,0.424202,0.335964,-0.814648,1.146322
2014-01-07 05:00:00,0.466257,0.926365,0.641103,-1.049993,1.248650
2014-01-07 06:00:00,-0.599234,-0.399027,1.256800,-0.499134,-0.166423
2014-01-07 07:00:00,-1.376058,-0.667047,0.810027,-0.285908,1.455182
2014-01-07 08:00:00,-1.082710,-1.348684,-0.594205,0.592366,-0.010729
2014-01-07 09:00:00,-0.152830,-0.636722,-1.169075,0.350334,-1.416820
2014-01-07 10:00:00,0.598561,0.215789,-1.240951,0.150831,0.065828
2014-01-07 11:00:00,0.217074,-1.394223,0.209367,0.046919,-0.805995
2014-01-07 12:00:00,-1.262968,-1.629623,-0.659959,0.181204,0.434766
2014-01-07 13:00:00,1.100828,-1.775714,-1.418291,-0.679852,0.228986
2014-01-07 14:00:00,1.606639,-1.508775,-0.202271,0.721309,-1.546193
2014-01-07 15:00:00,-1.388997,0.018976,0.094288,-0.350097,0.822920
2014-01-07 16:00:00,0.036685,0.032052,-0.075673,-0.381471,-1.264268
2014-01-07 17:00:00,0.207796,-0.225389,-1.460809,-0.282583,-1.134028
2014-01-07 18:00:00,-0.410910,0.190477,0.150798,-0.864205,1.454872
2014-01-07 19:00:00,0.942632,-0.102961,-1.521771,-0.110015,-1.510924
2014-01-07 20:00:00,-1.953922,-0.422461,1.661176,0.431749,-0.267514
2014-01-07 21:00:00,-0.598018,1.244931,-0.438379,-0.824170,1.259090
2014-01-07 22:00:00,-0.263490,0.081914,1.774008,-1.710494,-0.800612
2014-01-07 23:00:00,0.169982,0.128145,0.808339,1.468759,-1.687180
2014-01-08 00:00:00,0.264432,2.217377,0.618328,0.862843,1.094251
2014-01-08 01:00:00,-0.030900,0.404298,-1.074396,-0.123464,-0.998322
2014-01-08 02:00:00,-0.597468,2.564709,1.013509,0.116294,-0.545723
2014-01-08 03:00:00,-0.972599,0.677016,0.333934,-0.533963,1.454463
2014-01-08 04:00:00,0.545219,1.116800,0.810401,-0.215695,0.294131
2014-01-08 05:00:00,-1.152979,-0.754172,1.997681,-1.356815,-0.787354
2014-01-08 06:00:00,1.176072,-0.866452,0.604613,0.456008,0.733992
2014-01-08 07:00:00,0.095486,-0.900916,-1.265116,-1.488164,-0.114166
2014-01-08 08:00:00,0.427890,1.747281,-0.184178,-0.257222,-0.200859
2014-01-08 09:00:00,0.047989,0.718137,1.337436,-0.373495,-0.035199
2014-01-08 10:00:00,1.960077,0.139252,1.683996,-1.934444,-0.661002
2014-01-08 11:00:00,0.332314,-0.309008,0.264971,-0.789139,0.618343
2014-01-08 12:00:00,-0.096652,0.982294,0.487235,1.814654,-0.800183
2014-01-08 13:00:00,-0.963525,-0.073470,-1.809490,-0.136923,-0.150914
2014-01-08 14:00:00,0.202875,1.351561,-0.843984,-0.827747,-0.023168
2014-01-08 15:00:00,-0.074777,0.662053,-1.890899,-0.615159,1.405874
2014-01-08 16:00:00,0.089179,1.385810,0.306099,-1.374722,-0.453280
2014-01-08 17:00:00,-0.346494,-0.087612,-1.910613,1.019540,-0.278624
2014-01-08 18:00:00,1.395378,-0.005772,1.025183,0.311752,-0.546054
2014-01-08 19:00:00,-1.304541,-1.392092,1.529888,-0.333115,-2.733382
2014-01-08 20:00:00,0.611789,1.158143,0.433378,-0.324692,-0.948047
2014-01-08 21:00:00,-0.736799,-1.595906,0.893168,-0.976194,-1.412861
2014-01-08 22:00:00,0.118932,-0.417967,-0.940743,1.788052,-1.092344
2014-01-08 23:00:00,-0.116508,1.137407,-0.139592,-0.256034,-1.430091
2014-01-09 00:00:00,0.570221,0.299810,-0.139301,0.569335,0.250983
2014-01-09 01:00:00,1.881183,0.454711,0.219274,-0.185967,-1.220431
2014-01-09 02:00:00,0.377787,0.031186,0.036393,-0.022900,0.639858
2014-01-09 03:00:00,2.995851,0.289138,0.971646,0.738664,0.259942
2014-01-09 04:00:00,-0.320145,0.802933,0.368809,-1.060996,-2.611177
2014-01-09 05:00:00,0.969257,-0.870158,1.290995,-1.218407,0.099567
2014-01-09 06:00:00,-0.128274,-0.613895,-0.385206,0.825129,-0.211334
2014-01-09 07:00:00,0.262066,0.037368,-0.193281,-0.945005,-0.760388
2014-01-09 08:00:00,-0.806534,0.503499,-0.503670,0.316252,0.394693
2014-01-09 09:00:00,-0.728695,-0.277283,-0.744035,-0.210852,0.431968
2014-01-09 10:00:00,-0.136608,-1.325470,0.944115,0.529930,-0.089887
2014-01-09 11:00:00,0.269439,-1.617537,-1.331272,0.546985,1.141419
2014-01-09 12:00:00,1.074792,0.369342,-0.821639,0.575870,0.135564
2014-01-09 13:00:00,-0.633719,-0.671398,-1.186599,2.276785,0.095875
2014-01-09 14:00:00,-0.089308,-1.602151,0.395828,-0.325023,0.136932
2014-01-09 15:00:00,-1.187847,-1.054311,-2.117355,1.123411,-0.090563
2014-01-09 16:00:00,-0.888764,-0.164883,0.650617,1.871001,-0.957287
2014-01-09 17:00:00,1.432695,0.104016,0.891635,-0.542601,1.300573
2014-01-09 18:00:00,-0.831896,1.068031,0.507709,1.346206,2.258531
2014-01-09 19:00:00,-0.447027,-0.063939,-1.461641,1.578307,-0.046324
2014-01-09 20:00:00,0.776408,0.522752,0.302953,-1.120178,-0.781481
2014-01-09 21:00:00,-0.132910,1.560538,-1.181023,2.265519,-0.977156
2014-01-09 22:00:00,1.117553,-0.756381,-0.153456,-0.023959,0.991104
2014-01-09 23:00:00,-0.585115,-1.444322,-1.294591,1.136700,0.782421
2014-01-10 00:00:00,0.301190,1.488490,1.642487,-0.106183,-0.042904
2014-01-10 01:00:00,0.433046,0.560919,0.644673,-0.339861,-0.114195
2014-01-10 02:00:00,-0.933303,1.591583,1.103960,-0.471179,-1.316759
2014-01-10 03:00:00,0.033666,0.642507,0.841982,0.814759,1.038530
2014-01-10 04:00:00,-0.231171,0.872883,0.310559,0.149154,0.509655
2014-01-10 05:00:00,-0.079588,-1.237629,0.282857,1.374000,0.514572
2014-01-10 06:00:00,0.063509,0.214917,-0.192471,0.916066,-1.492435
2014-01-10 07:00:00,-0.778008,-0.541367,-0.617985,-1.126136,0.272029
2014-01-10 08:00:00,0.572293,-0.140113,0.384970,-0.100262,0.130636
2014-01-10 09:00:00,-0.045396,-0.562908,1.661821,1.152426,1.091531
2014-01-10 10:00:00,1.370124,-0.305162,0.810898,-0.864032,-0.709444
2014-01-10 11:00:00,1.169026,0.333272,0.314414,-0.646372,1.236042
2014-01-10 12:00:00,1.365126,-0.225514,0.124504,1.024214,1.708586
2014-01-10 13:00:00,-1.958474,0.535244,1.219994,0.922104,1.006438
2014-01-10 14:00:00,0.533639,1.567259,-0.385819,-0.272042,0.283178
2014-01-10 15:00:00,0.344518,0.172305,-0.356305,-0.251010,0.685895
2014-01-10 16:00:00,-0.270118,-0.133433,-1.720796,-0.342533,-0.102476
2014-01-10 17:00:00,-1.812915,0.192683,0.300689,0.010463,0.237277
2014-01-10 18:00:00,1.155559,1.404874,0.687559,1.419269,-0.965393
2014-01-10 19:00:00,0.000595,-0.712585,-1.049869,-0.613717,0.498042
2014-01-10 20:00:00,-0.629888,-0.003252,-0.449364,-0.290300,0.525112
2014-01-10 21:00:00,-0.423077,0.182535,0.058863,-0.713619,-0.000504
2014-01-10 22:00:00,0.876567,0.875752,0.747930,-0.386373,-1.108263
2014-01-10 23:00:00,0.835084,-0.165659,0.034820,-0.401795,-0.037903
2014-01-11 00:00:00,0.637789,-0.623939,-0.303886,0.334535,-0.659714
2014-01-11 01:00:00,0.607087,-0.910835,-0.948357,0.557790,-1.665138
2014-01-11 02:00:00,-0.386001,0.761105,-0.289994,-1.495556,-0.927416
2014-01-11 03:00:00,-0.974744,-0.518936,-1.009812,1.108437,-0.419243
2014-01-11 04:00:00,0.069418,-1.259191,-0.701214,-1.254376,-0.475370
2014-01-11 05:00:00,-2.375731,-0.148160,1.097958,-0.836445,0.818578
2014-01-11 06:00:00,0.218406,0.502036,1.739518,0.411463,-1.621143
2014-01-11 07:00:00,0.445476,0.306090,0.307060,1.834586,0.148141
2014-01-11 08:00:00,0.445818,0.818027,-0.277619,0.623495,-0.942160
2014-01-11 09:00:00,0.060814,1.255435,0.732098,-1.309901,-0.588781
2014-01-11 10:00:00,0.362424,0.461492,1.158458,1.304624,-1.190986
2014-01-11 11:00:00,-0.541581,-1.126265,1.349155,1.746756,0.836894
2014-01-11 12:00:00,0.082038,-1.991682,-0.015978,0.153303,-0.225610
2014-01-11 13:00:00,0.915614,-1.153319,-2.688009,-0.867439,-0.809131
2014-01-11 14:00:00,-0.112019,-0.336380,0.568987,-0.770037,-0.152748
2014-01-11 15:00:00,0.060047,0.596469,-0.319148,-0.780087,0.640007
2014-01-11 16:00:00,-3.248288,-0.527335,-0.945647,0.686656,-0.355319
2014-01-11 17:00:00,-1.024340,-0.029836,-1.582028,1.407237,0.353259
2014-01-11 18:00:00,-0.417705,0.176317,-1.817642,0.059708,-0.094686
2014-01-11 19:00:00,0.645490,-0.713833,-0.445199,-0.694173,0.346740
2014-01-11 20:00:00,1.671999,-1.669914,1.501798,-0.048678,-1.479875
2014-01-11 21:00:00,-2.502843,-1.619776,-0.368475,-0.063685,1.708139
2014-01-11 22:00:00,-0.262620,-0.695963,-0.963518,0.029027,-0.102380
2014-01-11 23:00:00,-0.051162,0.674756,-0.652354,-0.239388,-0.664613
2014-01-12 00:00:00,0.532418,-2.104458,0.443496,-1.860753,-0.190635
2014-01-12 01:00:00,-0.159817,0.607364,-0.321553,1.781219,-0.371981
2014-01-12 02:00:00,1.025510,0.345701,1.074840,-0.525326,0.327083
2014-01-12 03:00:00,0.551984,0.129793,1.216933,-0.517565,0.744287
2014-01-12 04:00:00,-0.698649,-0.915626,0.935162,-1.470045,1.334168
2014-01-12 05:00:00,-1.634808,-0.413574,1.681424,-0.621607,0.759909
2014-01-12 06:00:00,-1.137212,1.303369,0.727132,1.188798,0.144632
2014-01-12 07:00:00,-1.529369,-0.424092,-1.268233,-0.547911,-0.499087
2014-01-12 08:00:00,-2.398397,1.004355,1.132678,1.161803,-1.131870
2014-01-12 09:00:00,0.341871,-0.840937,0.232708,-2.131712,-0.409161
2014-01-12 10:00:00,0.034372,2.123833,-0.294752,-0.638747,-1.053099
2014-01-12 11:00:00,0.750604,0.783755,1.317594,-0.020002,-0.313536
2014-01-12 12:00:00,-2.013623,1.669228,0.000673,-1.408680,-0.132169
2014-01-12 13:00:00,-1.585325,0.207176,-0.644827,-0.615433,-1.194473
2014-01-12 14:00:00,-0.697994,-1.349569,1.010191,-0.158894,0.011977
2014-01-12 15:00:00,0.708131,0.422541,0.257970,1.023852,0.156471
2014-01-12 16:00:00,-0.275087,-0.277272,0.356541,1.223596,0.528587
2014-01-12 17:00:00,0.172134,-0.592166,0.147736,-1.052054,-1.016744
2014-01-12 18:00:00,-0.267388,1.065565,1.070792,0.652839,-2.066336
2014-01-12 19:00:00,-0.357750,-1.628616,-1.544271,-0.816392,-0.576687
2014-01-12 20:00:00,1.770536,-1.125132,-1.306645,-2.061540,-0.358172
2014-01-12 21:00:00,0.856395,0.632540,-1.020905,1.808081,-0.227674
2014-01-12 22:00:00,0.330074,0.804845,0.871788,-2.687134,0.032189
2014-01-12 23:00:00,-1.144196,0.388693,0.563115,0.920584,0.918717
2014-01-13 00:00:00,0.821351,-0.462492,0.833569,-2.864711,-0.147608
2014-01-13 01:00:00,0.691336,1.270812,-0.032040,-0.242544,-0.180160
2014-01-13 02:00:00,0.417549,-1.255134,0.949611,0.459880,0.971632
2014-01-13 03:00:00,-0.845447,0.602418,1.192299,-0.573189,-0.357505
2014-01-13 04:00:00,-2.150434,1.230882,0.766325,0.314373,-0.355618
2014-01-13 05:00:00,0.487257,0.254730,1.182610,-0.017042,-0.041927
2014-01-13 06:00:00,0.743777,0.798686,-0.000949,0.398425,1.067754
2014-01-13 07:00:00,1.753537,0.048511,-0.285145,-0.523681,-0.044741
2014-01-13 08:00:00,-0.984756,-0.652536,0.036948,-0.363561,1.251619
2014-01-13 09:00:00,-0.004024,-0.996020,0.448743,-2.617184,0.230848
2014-01-13 10:00:00,1.770524,3.484065,1.802786,0.640681,0.420749
2014-01-13 11:00:00,-0.459003,-0.189358,-0.043600,0.073766,0.208543
2014-01-13 12:00:00,0.217174,-0.280190,0.050293,-0.563953,-0.430280
2014-01-13 13:00:00,-0.016639,-0.451719,-1.031175,0.582623,1.632302
2014-01-13 14:00:00,1.159594,0.051484,-0.540842,0.630884,1.197953
2014-01-13 15:00:00,-1.137201,1.422543,1.095665,0.454302,-0.898385
2014-01-13 16:00:00,-1.350635,0.009383,-0.081404,0.375224,0.417181
2014-01-13 17:00:00,-0.044768,-0.266895,-0.351722,-1.438760,-1.014188
2014-01-13 18:00:00,-2.271521,0.113899,0.949226,-0.648478,0.239977
2014-01-13 19:00:00,0.218017,0.911885,1.934097,-0.953191,0.484273
2014-01-13 20:00:00,-0.012034,1.155064,-1.104846,-0.375477,-0.374123
2014-01-13 21:00:00,-0.492922,1.034347,0.692320,0.030954,0.883281
2014-01-13 22:00:00,-2.241540,-0.530127,0.527836,0.092905,-0.772755
2014-01-13 23:00:00,-0.376982,-1.116179,-0.506605,-0.357697,0.542251
2014-01-14 00:00:00,-0.850799,-0.190119,-1.241185,-1.286554,0.244096
2014-01-14 01:00:00,-1.303934,-0.996385,-0.905544,-1.191401,-0.797291
2014-01-14 02:00:00,1.128075,0.194355,0.239726,-1.032630,0.165777
2014-01-14 03:00:00,0.737872,0.256539,0.664554,1.838527,-1.009416
2014-01-14 04:00:00,-0.716325,-0.507644,-0.689284,-1.451615,0.099622
2014-01-14 05:00:00,0.184994,0.687279,0.156575,-0.413914,0.652702
2014-01-14 06:00:00,0.307596,1.209295,-0.788374,-0.446727,-1.225653
2014-01-14 07:00:00,-0.329559,1.283077,0.972392,0.551456,1.940843
2014-01-14 08:00:00,-0.866359,0.432377,0.022938,-0.110580,-0.246524
2014-01-14 09:00:00,-1.305081,-1.589433,-0.517802,-1.755371,-0.353440
2014-01-14 10:00:00,-0.354202,1.433897,-0.347706,-0.634916,1.294260
2014-01-14 11:00:00,-0.941143,-0.366391,0.971688,-1.458932,-0.068869
2014-01-14 12:00:00,-1.612812,-1.807881,0.997777,-0.549902,-0.985282
2014-01-14 13:00:00,0.068752,-1.064205,0.569277,-2.554429,-0.954797
2014-01-14 14:00:00,-1.090344,1.230653,-0.449649,-0.773149,0.640837
2014-01-14 15:00:00,1.125818,0.175675,-2.335029,-0.300505,0.472159
2014-01-14 16:00:00,-0.546708,-0.927716,-0.456252,1.843854,1.233251
2014-01-14 17:00:00,-1.279501,0.007309,0.542625,-0.783810,-1.344556
2014-01-14 18:00:00,-2.168167,-0.709772,-1.035774,1.724903,0.075060
2014-01-14 19:00:00,-1.174101,0.311220,-0.783693,0.118641,0.818924
2014-01-14 20:00:00,0.205190,-0.742013,0.282473,-1.094325,1.381621
2014-01-14 21:00:00,0.075445,-0.676348,0.299176,-1.108547,-0.158373
2014-01-14 22:00:00,0.693586,-1.156263,0.211980,0.239452,1.579513
2014-01-14 23:00:00,-0.129803,0.106575,-1.322644,-1.721957,0.349291
2014-01-15 00:00:00,0.506108,-1.139441,-0.983248,-1.314302,0.471885
2014-01-15 01:00:00,-2.347613,1.484738,-0.936346,0.418106,-1.411400
2014-01-15 02:00:00,-0.006197,-0.146610,1.164213,-0.730892,0.940745
2014-01-15 03:00:00,1.844314,-1.051051,0.658298,-0.531071,-1.868734
2014-01-15 04:00:00,-1.282986,0.324098,-0.332067,0.233906,-0.041883
2014-01-15 05:00:00,0.109103,0.630791,-0.049959,-1.192512,0.238420
2014-01-15 06:00:00,-0.269989,0.404128,-0.440342,1.193649,0.302133
2014-01-15 07:00:00,-0.338572,0.483618,0.865064,-1.918807,1.020770
